Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Deebo Samuel,WR,SF,0.7382473956053577,41.0,22.0,24.7,190.06023688959436,21.0,0.5206911444827974,0.926706231454006,189.75162290661726,1,48.0,25,48.0
Jordan Love,QB,GB,0.6871224722052002,64.0,77.0,75.3,332.98140800431844,8.0,0.9122395786867207,0.7765578635014837,189.73350529950255,1,49.0,37,49.0
George Pickens,WR,PIT,0.7417491026875601,39.0,48.0,51.0,188.8862645627508,22.0,0.5174749168043568,0.8486646884272997,188.84526649250034,1,50.0,25,50.0
DAndre Swift,RB,CHI,0.6944760570778254,59.0,75.0,75.0,188.3479546792167,20.0,0.5160001570443413,0.7774480712166172,188.30440315084482,1,51.0,27,51.0
Zay Flowers,WR,BAL,0.7314628381335901,46.5,45.0,46.7,187.3265419824442,23.0,0.5132018834297468,0.8614243323442137,187.24189011263516,1,52.0,25,52.0
Tee Higgins,WR,CIN,0.7334325483673292,45.0,50.0,52.7,186.53933864305668,24.0,0.5110452523824832,0.843620178041543,186.73119608935468,1,53.0,25,53.0
Amari Cooper,WR,CLE,0.735402258601068,43.0,46.0,46.7,186.17012553013151,25.0,0.5100337520209492,0.8614243323442137,186.53670803939946,1,54.0,25,54.0
Trevor Lawrence,QB,JAC,0.7170182964195045,51.0,111.0,111.3,327.41588464951946,9.0,0.8969922088387108,0.6697329376854599,186.1305671860446,1,55.0,6,55.0
Brock Purdy,QB,SF,0.7101024249321546,53.0,93.0,94.0,325.0570639212439,10.0,0.8905299572666,0.7210682492581602,185.65141973556962,1,56.0,37,56.0
Nico Collins,WR,HOU,0.7305874113630395,48.0,19.0,21.3,184.13916635882748,26.0,0.5044697136265405,0.9367952522255193,184.76303187467732,1,57.0,25,57.0
Najee Harris,RB,PIT,0.6857217893723191,65.0,69.0,71.3,183.91743642016567,21.0,0.5038622598139106,0.7884272997032641,184.5345172255302,1,58.0,27,58.0
Tua Tagovailoa,QB,MIA,0.6658933730193469,78.0,108.0,106.3,320.69303844074517,11.0,0.8785742243938005,0.6845697329376854,183.66584809775952,1,59.0,6,59.0
C.J. Stroud,QB,HOU,0.7048936356473783,56.0,57.0,56.7,316.28215400707086,12.0,0.8664901162103229,0.8317507418397626,182.2136823366992,1,60.0,37,60.0
Jaylen Warren,RB,PIT,0.6749978114330736,71.0,84.0,85.3,178.89417539766131,22.0,0.4901004778986171,0.7468842729970326,178.08598688371058,1,61.0,27,61.0
Keon Coleman,WR,BUF,0.6719338177361464,73.0,102.0,102.0,177.13323350545255,27.0,0.48527618185317695,0.6973293768545994,176.75379838805912,1,62.0,27,62.0
Raheem Mostert,RB,MIA,0.6642738334938283,80.0,89.0,90.0,176.62296347966677,23.0,0.4838782404001417,0.7329376854599406,176.62828714790277,1,63.0,27,63.0
Tony Pollard,RB,TEN,0.685065219294406,66.0,90.0,91.3,175.4853898946046,24.0,0.48076173112059417,0.7290801186943621,175.52942135455734,1,64.0,27,64.0
Zamir White,RB,LV,0.6756543815109868,70.0,80.0,77.7,175.02905639344002,25.0,0.4795115547718966,0.7694362017804154,175.24260331485394,1,65.0,27,65.0
David Montgomery,RB,DET,0.6574892760220608,86.0,76.0,75.0,174.89575289115632,26.0,0.4791463550104758,0.7774480712166172,175.24067395883034,1,66.0,27,66.0
Stefon Diggs,WR,HOU,0.7097960255624618,54.0,36.0,34.0,173.45377734542396,28.0,0.4751959027248684,0.8991097922848664,173.93552437733928,1,67.0,25,67.0
Diontae Johnson,WR,CAR,0.7108903090256501,52.0,79.0,76.3,171.98502354935792,29.0,0.47117208844602304,0.7735905044510386,171.88307814502406,1,68.0,27,68.0
Jonathon Brooks,RB,CAR,0.6721526744287841,72.0,87.0,89.0,171.11999943233752,27.0,0.46880225872852027,0.7359050445103857,171.54113288931256,1,69.0,27,69.0
Jayden Reed,WR,GB,0.6951326271557385,58.0,63.0,65.7,171.23999625270076,30.0,0.4691310033557593,0.8050445103857566,171.3429836413648,1,70.0,27,70.0
Terry McLaurin,WR,WAS,0.7058566050949838,55.0,60.0,59.7,170.16716900195976,31.0,0.46619187385575156,0.8228486646884273,170.425985327501,1,71.0,27,71.0
Brian Thomas Jr.,WR,JAC,0.6568327059441479,87.5,103.0,102.3,169.5800909429547,32.0,0.46458350825836653,0.6964391691394659,170.2853193959142,1,72.0,27,72.0
