Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Antoine Green,WR,DET,0.36903615512562377,356.0,0.0,0.0,18.85544612518182,141.0,0.05165659047535456,1.0,18.878127270279006,5,319.0,13,23.0
Jordan Mason,RB,SF,0.3313928039919461,500.5,0.0,0.0,18.46708098863048,85.0,0.05059262101631614,1.0,18.420267251774767,5,320.0,39,24.0
Royce Freeman,RB,DAL,0.33970935831217713,417.0,0.0,0.0,18.449753113542844,86.0,0.050545149376490295,1.0,18.42020177425693,5,321.0,39,25.0
Ronnie Rivers,RB,LAR,0.3357699378446993,446.5,0.0,0.0,18.17297027408831,87.0,0.049786872022913715,1.0,18.26923568362761,5,322.0,39,26.0
Brevin Jordan,TE,HOU,0.3331436575330473,472.0,0.0,0.0,17.788184222093495,62.0,0.048732707863839334,1.0,17.867991139821743,5,323.0,39,27.0
Jaylen Wright,RB,MIA,0.3143219819662086,584.0,151.0,149.7,17.20883339712625,88.0,0.04714551188299625,0.555786350148368,17.298089192434134,5,324.0,34,28.0
Jacoby Brissett,QB,NE,0.07257287927864833,744.0,244.0,231.0,29.686215381628177,34.0,0.08132868671210773,0.314540059347181,16.918851123284227,5,325.0,5,29.0
Irv Smith Jr.,TE,KC,0.31235227173246954,588.0,0.0,0.0,16.78439708892902,63.0,0.04598272143986086,1.0,16.707365494777868,5,326.0,39,30.0
Mo Alie-Cox,TE,IND,0.3263591000612798,572.0,0.0,0.0,16.628590904358802,64.0,0.0455558730791041,1.0,16.60269514533121,5,327.0,39,31.0
David Bell,WR,CLE,0.3594064606495666,370.0,0.0,0.0,16.52737923299716,142.0,0.04527859245555672,1.0,16.5084010217,5,328.0,39,32.0
Velus Jones Jr.,WR,CHI,0.34999562286614727,392.0,0.0,0.0,16.494551185729463,143.0,0.045188656371172684,1.0,16.50160086759967,5,329.0,39,33.0
Alec Ingold,RB,MIA,0.33007966383612014,528.0,0.0,0.0,16.440589324079216,89.0,0.045040821853227664,1.0,16.48169348601114,5,330.0,39,34.0
C.J. Uzomah,TE,PHI,0.3119145583471942,589.0,0.0,0.0,16.205699548913913,65.0,0.04439731520575792,1.0,16.20717753898512,5,331.0,39,35.0
Cedric Tillman,WR,CLE,0.36137617088330565,365.0,269.0,268.0,16.152140675268896,144.0,0.044250584718246035,0.20474777448071213,16.148715950790788,5,332.0,7,36.0
Xavier Gipson,WR,NYJ,0.3642213078875952,363.0,280.0,264.5,16.138199120979927,145.0,0.044212390280643554,0.21513353115727007,16.14669597393275,5,333.0,7,37.0
Scotty Miller,WR,PIT,0.35721789372319,372.0,0.0,0.0,15.810417743802859,146.0,0.0433143967644005,1.0,15.797246091615994,5,334.0,39,38.0
Jason Brownlee,WR,NYJ,0.36006303072747964,367.5,0.0,0.0,15.779258761793294,147.0,0.043229033269810604,1.0,15.767497273982686,5,335.0,39,39.0
Allen Lazard,WR,NYJ,0.36006303072747964,367.5,278.0,233.0,15.755554209752756,148.0,0.04316409201469363,0.3086053412462908,15.765241697975778,5,336.0,15,40.0
Hunter Luepke,RB,DAL,0.31257112842510726,586.5,0.0,0.0,15.771602268637386,90.0,0.04320805745577755,1.0,15.735046498046183,5,337.0,39,41.0
Luke Farrell,TE,JAC,0.3324870874551344,477.0,0.0,0.0,15.705684013492123,66.0,0.04302746706887913,1.0,15.710450718325184,5,338.0,39,42.0
Ross Dwelley,TE,ATL,0.3497767661735096,393.0,0.0,0.0,15.547096923353642,67.0,0.04259300010821566,1.0,15.633562610450108,5,339.0,39,43.0
Devontez Walker,WR,BAL,0.3342379409962357,460.5,211.0,225.3,15.22134599659746,149.0,0.04170056923658869,0.3314540059347181,15.17144812429601,5,340.0,26,44.0
Johnny Mundt,TE,MIN,0.3154162654293968,581.0,0.0,0.0,15.141288849934464,68.0,0.04148124378481523,1.0,15.110917573364691,5,341.0,39,45.0
Drew Sample,TE,CIN,0.3379585047710759,423.0,0.0,0.0,14.965268750236316,69.0,0.04099901715675391,1.0,14.95692014244524,5,342.0,39,46.0
Parker Washington,WR,JAC,0.3484636260176836,396.0,0.0,0.0,14.939125008478385,150.0,0.04092739347028598,1.0,14.935947146590534,5,343.0,39,47.0
Robert Woods,WR,HOU,0.35721789372319,372.0,0.0,0.0,14.652353384065792,151.0,0.04014175073004609,1.0,14.641753414170061,5,344.0,39,48.0
Robert Tonyan,TE,MIN,0.3381773614637136,422.0,343.0,328.0,14.619831479060743,70.0,0.04005265335641882,0.02670623145400597,14.62146452460049,5,345.0,36,49.0
Jalen Nailor,WR,MIN,0.3609384574980303,366.0,0.0,0.0,14.5712443412713,152.0,0.039919543491900314,1.0,14.59201933224105,5,346.0,39,50.0
Theo Johnson,TE,NYG,0.3373019346931629,434.0,263.0,258.3,14.508247611591136,71.0,0.039746956948746144,0.2335311572700296,14.516252739667033,5,347.0,26,51.0
Patrick Ricard,RB,BAL,0.33642650792261225,444.0,0.0,0.0,14.518769340404106,91.0,0.039775782394337614,1.0,14.509408280738121,5,348.0,39,52.0
Brenton Strange,TE,JAC,0.33117394729930844,508.0,0.0,0.0,14.424562404762664,72.0,0.0395176920228842,1.0,14.44500728160495,5,349.0,39,53.0
Israel Abanikanda,RB,NYJ,0.31454083865884613,582.5,0.0,0.0,14.436941462032175,92.0,0.03955160582622763,1.0,14.443600698497708,5,350.0,39,54.0
River Cracraft,WR,MIA,0.3506521929440602,389.0,0.0,0.0,14.234021234739195,153.0,0.0389956833086246,1.0,14.180801309817417,5,351.0,39,55.0
Nate Adkins,TE,DEN,0.31891797251159937,578.0,0.0,0.0,14.175954912810173,73.0,0.038836604165528026,1.0,14.167853510380858,5,352.0,39,56.0
Justin Fields,QB,PIT,0.041626542939683056,746.0,197.0,203.0,24.846696561978703,35.0,0.06807028698479853,0.3976261127596439,14.145772602018601,5,353.0,5,57.0
John Bates,TE,WAS,0.32810995360238115,543.0,0.0,0.0,14.110795515589855,74.0,0.038658092754263365,1.0,14.106203224291475,5,354.0,39,58.0
Peyton Hendershot,TE,DAL,0.32132539613061367,575.0,0.0,0.0,14.094897167676965,75.0,0.03861453746302716,1.0,14.101337376661217,5,355.0,39,59.0
Tim Jones,WR,JAC,0.3550293267968134,380.0,0.0,0.0,13.970733558738091,154.0,0.03827437745533943,1.0,14.001569524395183,5,356.0,39,60.0
Michael Burton,RB,DEN,0.31147684496191896,590.0,0.0,0.0,13.586754117529637,93.0,0.037222423096170465,1.0,13.549018917177591,5,357.0,39,61.0
Kadarius Toney,WR,KC,0.35152761971461094,385.5,316.0,299.0,13.543667558471055,155.0,0.03710438267848399,0.11275964391691395,13.53684313651795,5,358.0,7,62.0
Connor Heyward,TE,PIT,0.3073185678018034,598.0,0.0,0.0,13.375869884378265,76.0,0.036644682299305356,1.0,13.365173781722204,5,359.0,16,63.0
Khari Blasingame,RB,CHI,0.31125798826928125,591.0,0.0,0.0,13.360780267943465,94.0,0.036603342617845286,1.0,13.357415571200987,5,360.0,39,64.0
Joe Flacco,QB,IND,0.04884881379672589,745.0,296.0,271.5,23.103536075056386,36.0,0.06329470507557454,0.1943620178041543,13.157232839168376,5,361.0,5,65.0
Mitchell Wilcox,TE,NE,0.3272345268318305,548.0,0.0,0.0,13.173364244343306,77.0,0.03608989558957777,1.0,13.148355986016325,5,362.0,39,66.0
Keaton Mitchell,RB,BAL,0.31257112842510726,586.5,209.0,221.0,13.103702183958907,95.0,0.03589904863209632,0.34421364985163205,13.118380634881023,5,363.0,26,67.0
Trayveon Williams,RB,CIN,0.30600542764597743,600.0,0.0,0.0,13.02811848637792,96.0,0.035691978691314616,1.0,13.061367068489314,5,364.0,16,68.0
Stephen Sullivan,TE,CAR,0.31935568589687474,577.0,0.0,0.0,12.935362021727215,78.0,0.03543786204636268,1.0,12.94978279373877,5,365.0,39,69.0
Nick Vannett,TE,TEN,0.3508710496366979,387.0,0.0,0.0,12.748420576370238,79.0,0.03492571517794255,1.0,12.693593786734585,5,366.0,39,70.0
MyCole Pruitt,TE,PIT,0.31016370480609295,595.5,0.0,0.0,12.57461354443311,80.0,0.034449551494998856,1.0,12.601335125038034,5,367.0,16,71.0
Chase Claypool,WR,BUF,0.3519653330998862,382.0,283.0,279.0,12.603689124494267,156.0,0.03452920727837736,0.17210682492581597,12.596977357370243,5,368.0,7,72.0
Chase Claypool,WR,BUF,0.3519653330998862,382.0,283.0,279.0,12.581728736005738,157.0,0.03446904435317791,0.17210682492581597,12.582348168090562,5,369.0,7,73.0
Van Jefferson,WR,PIT,0.3554670401820888,378.0,285.0,288.5,12.488154065319259,158.0,0.03421268614184596,0.14391691394658757,12.49260653214967,6,370.0,7,1.0
Teagan Quitoriano,TE,HOU,0.31016370480609295,595.5,0.0,0.0,12.438554858318629,81.0,0.03407680360123016,1.0,12.478271142040047,6,371.0,16,2.0
David Durden,WR,DAL,0.3506521929440602,389.0,0.0,0.0,12.250529114355524,159.5,0.03356168617625689,1.0,12.248850288940009,6,373.0,39,4.0
Jalen Cropper,WR,DAL,0.3506521929440602,389.0,0.0,0.0,12.250529114355524,159.5,0.03356168617625689,1.0,12.248850288940009,6,373.0,39,4.0
Tip Reiman,TE,ARI,0.3519653330998862,383.0,0.0,0.0,12.250529114355524,82.0,0.03356168617625689,1.0,12.248850288940009,6,373.0,39,4.0
Kene Nwangwu,RB,MIN,0.3318305173772214,489.5,0.0,0.0,12.247678232913653,97.0,0.03355387586966648,1.0,12.23652958435817,6,375.0,39,6.0
Mecole Hardman Jr.,WR,KC,0.3548104701041758,381.0,0.0,0.0,12.19646885479937,161.0,0.03341358208631154,1.0,12.215662523063155,6,376.0,39,7.0
Charlie Jones,WR,CIN,0.3458373457060317,397.0,0.0,0.0,12.075691685488518,162.0,0.03308269960639339,1.0,12.082833116205068,6,377.0,39,8.0
Davis Allen,TE,LAR,0.3127899851177449,585.0,323.0,290.0,12.07967327130042,83.0,0.03309360760328524,0.13946587537091992,12.081675697203178,6,378.0,36,9.0
Adam Prentice,RB,NO,0.3055677142607021,601.0,0.0,0.0,12.029693593005652,98.0,0.03295668271926911,1.0,12.043663472982832,6,379.0,16,10.0
Devin Duvernay,WR,JAC,0.35634246695263944,375.0,0.0,0.0,11.878087614475316,163.0,0.03254134128981877,1.0,11.953248840544951,6,380.0,39,11.0
Nick Bawden,RB,NYJ,0.3042545741048761,604.0,0.0,0.0,11.655078290553531,99.0,0.03193038245906333,1.0,11.60077589997255,6,381.0,16,12.0
Van Jefferson,WR,PIT,0.3554670401820888,378.0,285.0,288.5,11.625598177277755,164.0,0.03184961841197881,0.14391691394658757,11.599529325013568,6,382.0,7,13.0
D.J. Montgomery,WR,IND,0.35524818348945114,379.0,0.0,0.0,11.551139220836019,165.0,0.031645629824564994,1.0,11.53821231759389,6,383.0,39,14.0
Mecole Hardman Jr.,WR,KC,0.3548104701041758,381.0,0.0,0.0,11.495181451463536,166.0,0.031492327295566315,1.0,11.488461428690563,6,384.0,39,15.0
DeAndre Carter,WR,CHI,0.3421167819311915,406.0,0.0,0.0,11.4163691067015,167.0,0.031276412116962415,1.0,11.405485069930908,6,385.0,39,16.0
Zach Pascal,WR,ARI,0.3517464764072485,384.0,0.0,0.0,11.387413909567039,168.0,0.031197086135992362,1.0,11.391371651927587,6,386.0,39,17.0
Luke Schoonmaker,TE,DAL,0.31979339928215,576.0,0.0,0.0,11.302940582949534,84.0,0.030965662068367483,1.0,11.30224853704805,6,387.0,0,18.0
Jalen Brooks,WR,DAL,0.34561848901339404,398.0,312.0,274.0,11.252920062450189,169.0,0.030828625292592237,0.18694362017804156,11.28004539248158,6,388.0,7,19.0
Josiah Deguara,TE,JAC,0.3020660071784995,611.0,0.0,0.0,11.166626697521751,85.0,0.030592215027714156,1.0,11.201358548079288,6,389.0,16,20.0
Jauan Jennings,WR,SF,0.3561236102600017,376.0,300.0,288.5,11.065995269138133,170.0,0.03031652404430008,0.14391691394658757,11.16195309458087,6,390.0,7,21.0
Drew Lock,QB,NYG,0.03961306136741661,747.0,321.0,284.0,19.318410389967216,37.0,0.05292493253801218,0.1572700296735905,10.929976838981482,6,391.0,5,22.0
Giovanni Ricci,TE,CLE,0.31454083865884613,582.5,0.0,0.0,10.61611480502655,86.0,0.02908402650787542,1.0,10.550671485654032,6,392.0,0,23.0
Kyle Philips,WR,TEN,0.34299220870174213,403.0,0.0,0.0,10.591763200663165,171.0,0.02901731258099902,1.0,10.540804823387372,6,393.0,39,24.0
Rakim Jarrett,WR,TB,0.3491201960955966,394.0,0.0,0.0,10.442315446966772,172.0,0.028607883848371686,1.0,10.485396485914272,6,394.0,39,25.0
Brandon Johnson,WR,DEN,0.3412413551606408,409.0,0.0,0.0,10.228030138403952,173.0,0.028020825427381508,1.0,10.202823566313626,6,395.0,39,26.0
Payne Durham,TE,TB,0.3042545741048761,604.0,0.0,0.0,10.209840936615132,87.0,0.027970994087319827,1.0,10.182902335369974,6,396.0,16,27.0
Brenden Rice,WR,LAC,0.3370830780005252,435.5,304.0,301.5,10.138326544268077,174.0,0.027775072460536784,0.10534124629080122,10.153927882729198,6,397.0,36,28.0
Kenny Yeboah,TE,NYJ,0.31082027488400593,593.5,0.0,0.0,10.141590411185282,88.0,0.027784014186740914,1.0,10.141952145011862,6,398.0,0,29.0
Aidan O’Connell,QB,LV,0.13030727479646326,743.0,0.0,0.0,17.616225424697,38.0,0.04826160762485416,1.0,10.072613786486762,6,399.0,4,30.0
Isaiah McKenzie,WR,NYG,0.3449619189354811,401.0,0.0,0.0,10.041403940118746,175.0,0.02750954221335476,1.0,10.038564750866469,6,400.0,39,31.0
Isaiah Hodgins,WR,NYG,0.3397093583121772,415.5,0.0,0.0,9.98079627285968,176.0,0.0273435007722516,1.0,10.003986175268913,6,401.0,39,32.0
Ko Kieft,TE,TB,0.30381686071960085,607.0,0.0,0.0,9.97288893792394,89.0,0.0273218377492812,1.0,9.974436543793372,6,402.0,16,33.0
Allen Robinson II,WR,NYG,0.33992821500481485,413.0,0.0,0.0,9.70555297264785,177.0,0.026589441157552855,1.0,9.70090802018743,6,403.0,39,34.0
Ben Skowronek,WR,HOU,0.3375207913858006,428.0,0.0,0.0,9.554683236776942,178.0,0.026176116746702657,1.0,9.537851308177833,6,404.0,39,35.0
Jacob Saylors,RB,NYG,0.31103913157664365,592.0,0.0,0.0,9.340366628701997,101.5,0.02558897257722002,1.0,9.340366628701988,6,406.5,0,37.5
Jase McClellan,RB,ATL,0.31082027488400593,593.5,0.0,0.0,9.340366628701997,101.5,0.02558897257722002,1.0,9.340366628701988,6,406.5,0,37.5
D’Ernest Johnson,RB,JAC,0.3239516764422656,573.5,0.0,0.0,9.340366628701997,101.5,0.02558897257722002,1.0,9.340366628701988,6,406.5,0,37.5
Troy Hairston,RB,HOU,0.3171671189704981,580.0,0.0,0.0,9.340366628701997,101.5,0.02558897257722002,1.0,9.340366628701988,6,406.5,0,37.5
Miles Boykin,WR,NYG,0.33730193469316294,431.5,0.0,0.0,9.195561089440467,179.0,0.025192261707027146,1.0,9.208463184576063,6,409.0,0,40.0
Trent Taylor,WR,SF,0.335332224459424,449.5,0.0,0.0,9.135602337402096,180.0,0.02502799804129913,1.0,9.14373724327315,6,410.0,0,41.0
Lawrence Cager,TE,NYG,0.2878403221570516,667.5,0.0,0.0,9.128855551721792,90.0,0.025009514472011052,1.0,9.133959612652312,6,411.0,16,42.0
Durham Smythe,TE,MIA,0.3011905804079488,613.0,0.0,0.0,8.93202507420407,91.0,0.024470275500803555,1.0,8.924721889939303,6,412.0,16,43.0
Grant Calcaterra,TE,PHI,0.3005340103300359,614.0,0.0,0.0,8.931356329142735,92.0,0.024468443399375858,1.0,8.924441017013551,6,413.0,16,44.0
David Moore,WR,CAR,0.3294230937582071,533.0,0.0,0.0,8.87654650471672,181.0,0.024318285793154093,1.0,8.887545136071546,6,414.0,0,45.0
Tyler Johnson,WR,LAR,0.3405847850827279,410.5,0.0,0.0,8.785763429789345,183.0,0.024069575468694898,1.0,8.822027512715685,6,415.0,0,46.0
Ryan Flournoy,WR,DAL,0.3368642213078876,438.5,338.0,320.0,8.806839333033297,182.0,0.02412731524825477,0.05044510385756673,8.817954939710301,6,416.0,36,47.0
Dylan Laube,RB,LV,0.306880854416528,599.0,242.0,246.0,8.623715128885845,104.0,0.023625626136421097,0.27002967359050445,8.590788466059884,6,417.0,26,48.0
Ian Thomas,TE,CAR,0.29965858355948527,617.0,0.0,0.0,8.601663156590046,93.0,0.02356521230720193,1.0,8.566661726942597,6,418.0,16,49.0
Julian Hill,TE,MIA,0.2992208701742099,621.0,0.0,0.0,8.56257569538189,94.0,0.023458127862583326,1.0,8.54919255945421,6,419.0,16,50.0
Kyle Trask,QB,TB,0.024468178236890438,748.0,0.0,0.0,14.839630372242944,39.0,0.04065481685531824,1.0,8.472260568359712,6,420.0,4,51.0
AJ Barner,TE,SEA,0.3427733520091044,404.0,0.0,0.0,8.46448558124809,95.0,0.023189399092028096,1.0,8.465857357001527,6,422.5,0,53.5
Jordan Whittington,WR,LAR,0.34255449531646676,405.0,0.0,0.0,8.46448558124809,185.0,0.023189399092028096,1.0,8.465857357001527,6,422.5,0,53.5
Xavier Smith,WR,LAR,0.3405847850827279,410.5,0.0,0.0,8.46448558124809,185.0,0.023189399092028096,1.0,8.465857357001527,6,422.5,0,53.5
Tre’Quan Smith,WR,DET,0.34146021185327846,407.5,0.0,0.0,8.46448558124809,185.0,0.023189399092028096,1.0,8.465857357001527,6,422.5,0,53.5
Quintin Morris,TE,BUF,0.3014094371005865,612.0,0.0,0.0,8.424476494156664,96.0,0.023079789750861973,1.0,8.443416822543309,6,425.0,16,56.0
Patrick Taylor,RB,SF,0.27974262452945814,740.0,0.0,0.0,8.266650120845602,105.0,0.022647406858502202,1.0,8.284236189295225,6,426.0,16,57.0
C.J. Ham,RB,MIN,0.3027225772564125,610.0,0.0,0.0,8.253375487212773,106.0,0.0226110395241666,1.0,8.257213497794785,6,427.0,16,58.0
Kenny McIntosh,RB,SEA,0.3092882780355423,597.0,0.0,0.0,8.066088612045741,107.5,0.022097946312386707,1.0,8.064627414206038,6,428.0,16,59.0
Deneric Prince,RB,KC,0.3053488575680644,602.0,0.0,0.0,8.066088612045741,107.5,0.022097946312386707,1.0,8.061762047665141,6,429.0,16,60.0
Harrison Bryant,TE,LV,0.2981265867110216,625.0,0.0,0.0,8.071710365049544,97.0,0.02211334772960819,1.0,8.05978818022016,6,430.0,16,61.0
Skyy Moore,WR,KC,0.3390527882342642,420.5,0.0,0.0,8.03234844424027,187.0,0.022005511372405667,1.0,8.018395044646805,6,431.0,0,62.0
Nick Westbrook-Ikhine,WR,TEN,0.33773964807843826,425.0,0.0,0.0,7.997070987980062,188.0,0.021908864859830603,1.0,8.0036451404162,6,432.0,0,63.0
Michael Penix Jr.,QB,ATL,0.02271732469578919,749.0,268.0,250.0,14.002986450577625,40.0,0.038362737837498495,0.25816023738872407,7.9739140277358525,6,433.0,5,64.0
Ben Sims,TE,GB,0.3031602906416878,609.0,0.0,0.0,7.829176847417422,98.0,0.02144890020003541,1.0,7.809933811385288,6,434.0,16,65.0
Dare Ogunbowale,RB,HOU,0.2985643000962969,624.0,0.0,0.0,7.7038947842284395,109.0,0.021105676062611378,1.0,7.709263086410889,6,435.0,16,66.0
John FitzPatrick,TE,ATL,0.30403571741223845,606.0,0.0,0.0,7.627648909827866,99.0,0.020896792014830315,1.0,7.603921734929734,6,436.0,16,67.0
Mason Rudolph,QB,TEN,0.02157926989407333,750.0,0.0,0.0,13.200967101347146,41.0,0.036165516684445044,1.0,7.513863790620639,6,437.0,4,68.0
Hunter Long,TE,LAR,0.30337914733432547,608.0,0.0,0.0,7.470167805552005,100.5,0.020465355025369725,1.0,7.477574849905994,6,438.0,16,69.0
Tanner McLachlan,TE,CIN,0.3042545741048761,604.0,0.0,0.0,7.470167805552005,100.5,0.020465355025369725,1.0,7.463401550521168,6,439.0,16,70.0
Stanley Morgan,WR,NO,0.3397093583121772,415.5,0.0,0.0,7.337046752169667,189.0,0.020100655102993695,1.0,7.399119376047671,6,440.0,0,71.0
Evan Hull,RB,IND,0.2987831567889346,623.0,298.0,282.0,7.18695384588242,110.0,0.01968945890313389,0.16320474777448069,7.1286527445137695,6,441.0,36,72.0
John Metchie III,WR,HOU,0.3394905016195396,418.0,305.0,293.0,7.110223250056364,190.0,0.019479246907130092,0.13056379821958453,7.098796658663918,6,442.0,7,73.0
Elijah Cooks,WR,JAC,0.34146021185327846,407.5,0.0,0.0,7.087483195821363,191.0,0.019416948000956984,1.0,7.092346642858039,6,443.0,0,74.0
Kayshon Boutte,WR,NE,0.33927164492690187,419.0,0.0,0.0,7.046504454335781,192.0,0.019304682183799306,1.0,7.073914311785021,7,444.0,0,1.0
Malik Heath,WR,GB,0.3316116606845837,494.5,0.0,0.0,6.867178428043648,193.0,0.01881339860237431,1.0,6.854454117865596,7,445.0,0,2.0
Javon Baker,WR,NE,0.32920423706556945,534.5,231.0,237.7,6.8608190021352495,194.0,0.018795976248237072,0.2946587537091988,6.850365461256116,7,446.0,26,3.0
Mike Boone,RB,CAR,0.27930491114418277,741.0,0.0,0.0,6.828781949422438,111.0,0.018708207181356556,1.0,6.832940641070137,7,447.0,16,4.0
Cordarrelle Patterson,RB,PIT,0.28193119145583473,716.0,327.0,298.0,6.7636343511429935,112.0,0.018529728094601895,0.11572700296735905,6.785177117136597,7,448.0,36,5.0
Justyn Ross,WR,KC,0.33730193469316294,431.5,0.0,0.0,6.544771474710754,195.0,0.017930128917628865,1.0,6.51631758851551,7,449.0,0,6.0
Simi Fehoko,WR,LAC,0.3364265079226123,443.0,0.0,0.0,6.432228867756746,196.0,0.017621805936573125,1.0,6.456224889754725,7,450.0,0,7.0
Kwamie Lassiter II,WR,CIN,0.34408649216493037,402.0,0.0,0.0,6.280781788783377,197.0,0.017206899830121053,1.0,6.281270379686484,7,451.0,0,8.0
Charlie Kolar,TE,BAL,0.2976888733257463,626.0,0.0,0.0,6.25524641261108,102.0,0.017136942828795857,1.0,6.2574094376904466,7,452.0,16,9.0
Rasheen Ali,RB,BAL,0.29374945285826837,637.5,291.0,280.0,6.20840946959972,113.0,0.017008627817409087,0.16913946587537088,6.2184700198401375,7,453.0,36,10.0
Malik Washington,WR,MIA,0.3307362339140331,515.5,273.0,268.5,6.089553529622685,198.0,0.016683008758798887,0.20326409495548958,6.0884879145595105,7,454.0,7,11.0
Isaac Guerendo,RB,SF,0.2821500481484724,711.5,235.0,239.7,6.08134751775588,114.0,0.01666052747717738,0.2887240356083086,6.074886196406812,7,455.0,26,12.0
Marcedes Lewis,TE,CHI,0.2926551693950801,646.0,0.0,0.0,5.993430592712417,103.0,0.016419669288902674,1.0,5.98211426411913,7,456.0,16,13.0
Ihmir Smith-Marsette,WR,CAR,0.32920423706556945,534.5,0.0,0.0,5.900110316390944,199.0,0.016164008019210026,1.0,5.891403984815566,7,457.0,0,14.0
Terrace Marshall Jr.,WR,CAR,0.3296419504508448,531.5,0.0,0.0,5.86508303432962,200.0,0.016068046886660102,1.0,5.87599198070858,7,458.0,0,15.0
Tanner Conner,TE,MIA,0.30009629694476053,615.0,0.0,0.0,5.725634108282711,105.0,0.0156860110537655,1.0,5.7224148716047525,7,460.0,16,17.0
Jaheim Bell,TE,NE,0.29965858355948527,617.0,0.0,0.0,5.725634108282711,105.0,0.0156860110537655,1.0,5.7224148716047525,7,460.0,16,17.0
Jack Westover,TE,SEA,0.29965858355948527,617.0,0.0,0.0,5.725634108282711,105.0,0.0156860110537655,1.0,5.7224148716047525,7,460.0,16,17.0
Cornelius Johnson,WR,LAC,0.3370830780005252,435.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Kendric Pryor,WR,CIN,0.33773964807843826,425.0,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Alex Bachman,WR,LV,0.3368642213078876,438.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Isaiah Williams,WR,DET,0.3375207913858006,428.0,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Sean Ryan,WR,BAL,0.33730193469316294,431.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Daurice Fountain,WR,DET,0.3375207913858006,428.0,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Bub Means,WR,NO,0.33773964807843826,425.0,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Tom Kennedy,WR,DET,0.33730193469316294,431.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Marquez Callaway,WR,PIT,0.33620765122997465,445.0,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Ashton Dulin,WR,IND,0.33664536461524996,441.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Lil’Jordan Humphrey,WR,DEN,0.3368642213078876,438.5,0.0,0.0,5.718302644636702,206.0,0.0156659256942024,1.0,5.718302644636701,7,467.0,0,24.0
Tyrion Davis-Price,RB,PHI,0.28521404184539967,673.5,0.0,0.0,5.710835515574159,115.0,0.015645468664151268,1.0,5.707741685079251,7,473.0,16,30.0
Bo Melton,WR,GB,0.33401908430359806,465.5,294.0,282.5,5.6711098197495895,212.0,0.015536635704860123,0.16172106824925814,5.678201806987187,7,474.0,7,31.0
Cody Thompson,WR,TB,0.3357699378446993,446.5,0.0,0.0,5.518340120135637,213.0,0.015118106132151601,1.0,5.541562292119335,7,475.0,0,32.0
Albert Okwuegbunam,TE,PHI,0.2992208701742099,621.0,0.0,0.0,5.425704831425172,107.0,0.01486432146215687,1.0,5.430673057860298,7,476.0,16,33.0
Tyson Bagent,QB,CHI,0.004508447868335757,772.0,0.0,0.0,9.395742403906818,42.0,0.02574068066850673,1.0,5.340851909121284,7,477.0,4,34.0
Eric Saubert,TE,SF,0.29374945285826837,637.5,0.0,0.0,5.292588960332872,108.0,0.014499635737240418,1.0,5.273657191222616,7,478.0,16,35.0
James Proche,WR,CLE,0.335332224459424,449.5,0.0,0.0,5.222881671074382,214.0,0.014308664870231129,1.0,5.212217619322466,7,479.0,0,36.0
Brady Russell,TE,SEA,0.29681344655519565,628.5,0.0,0.0,5.103666198078116,111.0,0.013982060830952032,1.0,5.105324691840698,7,481.5,16,38.5
Blake Whiteheart,TE,ARI,0.2994397268668476,619.0,0.0,0.0,5.103666198078116,111.0,0.013982060830952032,1.0,5.105324691840698,7,481.5,16,38.5
Zaire Mitchell-Paden,TE,CLE,0.2992208701742099,621.0,0.0,0.0,5.103666198078116,111.0,0.013982060830952032,1.0,5.105324691840698,7,481.5,16,38.5
Dalton Keene,TE,HOU,0.29681344655519565,628.5,0.0,0.0,5.103666198078116,111.0,0.013982060830952032,1.0,5.105324691840698,7,481.5,16,38.5
Jared Wiley,TE,KC,0.29637573316992033,630.0,0.0,0.0,5.103666198078116,111.0,0.013982060830952032,1.0,5.105093957980719,7,484.0,16,41.0
Sean McKeon,TE,DET,0.29418716624354374,636.0,0.0,0.0,5.080592812080294,114.0,0.013918848725364273,1.0,5.084874240489502,7,485.0,16,42.0
Ray-Ray McCloud,WR,ATL,0.3298608071434825,530.0,0.0,0.0,4.847281586317407,215.0,0.013279666689440939,1.0,4.835368907305199,7,486.0,0,43.0
